Peter Parker,Spider-Man,Hero
Tony Stark,Iron Man,Hero
Bruce Banner,Hulk,Hero
Steve Rogers,Captain America,Hero
Natasha Romanoff,Black Widow,Hero
James Logan Howlett,Wolverine,Hero
Thor Odinson,Thor,Hero
Reed Richards,Reed Richards,Hero
Carol Danvers,Captain Marvel,Hero
Viktor von Doom,Dr. Doom,Villain
Norman Osborn,Green Goblin,Villain
Nicholas Fury,Nick Fury,Hero
Otto Octavius,Doc Ock,Hero
Wade Wilson,Deadpool,Antihero
Eddie Brock,Venom,Antihero
Thanos,Thanos,Villain
Scott Lang,Ant Man,Hero
Clint Barton,Hawkeye,Hero
James Rhodes,War Machine,Hero
Nebula,Nebula,Complicated
Pepper Potts,Pepper Potts,Hero
Stephen Strange,Dr. Strange,Hero
T'Challa,Black Panther,Hero
Sam Wilson,Falcon,Hero
Bucky Barnes,Winter Soldier,Hero
Hope van Dyne,Wasp,Hero
Mantis,Mantis,Hero
